Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-02-15,838.81,841.7725,836.22,837.32,1325847,0,1,838.81,841.7725,836.22,837.32,1325847
2017-02-14,839.77,842,835.83,840.03,1074856,0,1,839.77,842,835.83,840.03,1074856
2017-02-13,837.7,841.735,836.246,838.96,1272621,0,1,837.7,841.735,836.246,838.96,1272621
2017-02-10,832.95,837.15,830.51,834.85,1407502,0,1,832.95,837.15,830.51,834.85,1407502
2017-02-09,831.73,831.98,826.5,830.06,1194238,0,1,831.73,831.98,826.5,830.06,1194238
2017-02-08,830.53,834.25,825.11,829.88,1302225,0,1,830.53,834.25,825.11,829.88,1302225
2017-02-07,825.5,831.92,823.2926,829.23,1666605,0,1,825.5,831.92,823.2926,829.23,1666605
2017-02-06,820.92,822.39,814.29,821.62,1328832,0,1,820.92,822.39,814.29,821.62,1328832
2017-02-03,823.13,826.13,819.35,820.13,1458606,0,1,823.13,826.13,819.35,820.13,1458606
2017-02-02,815,824.56,812.051,818.26,1625008,0,1,815,824.56,812.051,818.26,1625008
2017-02-01,824,824,812.25,815.24,2216244,0,1,824,824,812.25,815.24,2216244
2017-01-31,819.5,823.07,813.4,820.19,2015380,0,1,819.5,823.07,813.4,820.19,2015380
2017-01-30,837.06,837.23,821.03,823.83,3454689,0,1,837.06,837.23,821.03,823.83,3454689
2017-01-27,859,867,841.9,845.03,3743255,0,1,859,867,841.9,845.03,3743255
2017-01-26,859.05,861,850.5201,856.98,2631416,0,1,859.05,861,850.5201,856.98,2631416
2017-01-25,853.55,858.7936,849.74,858.45,1638853,0,1,853.55,858.7936,849.74,858.45,1638853
2017-01-24,846.98,851.52,842.28,849.53,1668234,0,1,846.98,851.52,842.28,849.53,1668234
2017-01-23,831.61,845.5428,828.7,844.43,2445107,0,1,831.61,845.5428,828.7,844.43,2445107
2017-01-20,829.09,829.24,824.6,828.17,1259321,0,1,829.09,829.24,824.6,828.17,1259321
2017-01-19,829,832.9999,823.96,824.37,1065121,0,1,829,832.9999,823.96,824.37,1065121
2017-01-18,829.8,829.81,824.08,829.02,989477,0,1,829.8,829.81,824.08,829.02,989477
2017-01-17,830,830.18,823.2001,827.2,1242810,0,1,830,830.18,823.2001,827.2,1242810
2017-01-13,831,834.65,829.52,830.94,1255255,0,1,831,834.65,829.52,830.94,1255255
2017-01-12,828.38,830.38,821.01,829.53,1348274,0,1,828.38,830.38,821.01,829.53,1348274
2017-01-11,826.62,829.9,821.47,829.86,1261666,0,1,826.62,829.9,821.47,829.86,1261666
2017-01-10,827.07,829.41,823.14,826.01,1141799,0,1,827.07,829.41,823.14,826.01,1141799
2017-01-09,826.37,830.43,821.62,827.18,1405091,0,1,826.37,830.43,821.62,827.18,1405091
2017-01-06,814.99,828.96,811.5,825.21,1983025,0,1,814.99,828.96,811.5,825.21,1983025
2017-01-05,807.5,813.74,805.92,813.02,1318301,0,1,807.5,813.74,805.92,813.02,1318301
2017-01-04,809.89,813.43,804.11,807.77,1495919,0,1,809.89,813.43,804.11,807.77,1495919
